name,brand,os,cpu_brand,cpu_name,cpu_type,cpu_cores,cpu_threads,gpu_brand,gpu_name,gpu_vram,ram_capacity,ram_ddr_type,hdd,ssd,screen_size,aspect_ratio_category,screen_res,ppi,touchscreen,spec_score,user_rating,price
hp omen 16-xd0017ax gaming laptop (amd ryzen 7 7840hs/ 32gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,amd,ryzen 7 7840hs,hs,8,16,nvidia,geforce rtx 4060,8,32,ddr5,0,1024,16.1,Standard (4:3 or 5:4),HD+,136.83,0,81,4.65,118490
hp 255 g10 laptop (amd ryzen 5 7520u/ 8gb/ 512gb ssd/ win11),hp,windows,amd,ryzen 5 7520u,u,4,8,amd,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),SD,100.45,0,50,4.4,28990
hp victus 15-fa1319tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx 4050),hp,windows,intel,core i5 13420h,h,8,12,nvidia,geforce rtx 4050,6,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,61,4.55,68841
hp 15-fc0154au laptop (amd ryzen 3 7320u/ 8gb/ 512gb ssd/ win11 home),hp,windows,amd,ryzen 3 7320u,u,4,8,amd,integrated,0,8,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,57,4.7,30790
hp omen 16-wf1096tx gaming laptop (14th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,intel,core i7 14650hx,hx,16,24,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16.1,Widescreen (16:10),HD+,136.83,0,79,4.4,109100
hp victus 15-fb0185ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph),hp,windows,amd,ryzen 5 5600h,h,6,12,amd,radeon rx 6500m,4,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,68,4.5,51990
hp 15-fd0574tu laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11 home),hp,windows,intel,core i3 1315u,u,6,8,intel,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,54,4.7,41880
hp 15-fc0476au laptop (amd ryzen 7 5825u/ 16gb/ 512gb ssd/ win11 home),hp,windows,amd,ryzen 7 5825u,u,8,16,amd,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,59,4.75,52504
hp victus 15-fb3009ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 6gb graph),hp,windows,amd,ryzen 5 8645hs,hs,6,12,nvidia,geforce rtx 3050,6,16,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,72,4.35,73990
hp 15-hr0007tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home),hp,windows,intel,core i5 1334u,u,10,12,intel,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,52,4.65,59990
hp victus 15-fb0147ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph),hp,windows,amd,ryzen 5 5600h,h,6,12,amd,radeon rx 6500m,4,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,68,4.3,51880
hp 255 g10 b1fw9pt laptop (amd ryzen 3 7320u/ 8gb/ 512gb ssd/ win11),hp,windows,amd,ryzen 3 7320u,u,4,8,amd,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),SD,100.45,0,48,4.7,25290
hp victus 15-fa1276tx gaming laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home/ 8gb graph),hp,windows,intel,core i7 13620h,h,10,16,nvidia,geforce rtx 4060,8,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,66,4.65,85990
hp victus 15-fa1351tx gaming laptop (12th gen core i5/ 16gb/ 512gb ssd/ win11 home/ rtx 2050),hp,windows,intel,core i5 12450h,h,8,12,nvidia,geforce rtx 2050,4,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,61,4.75,56990
hp omen 16-xd0020ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,amd,ryzen 7 7840hs,hs,8,16,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16.1,Widescreen (16:10),HD+,136.83,0,77,4.65,107990
hp victus 16-s0089ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 6gb graph),hp,windows,amd,ryzen 7 7840hs,hs,8,16,nvidia,geforce rtx 3050,6,16,ddr5,0,1024,16.1,Widescreen (16:10),HD+,136.83,0,73,4.1,77990
hp 14-ep0294tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home),hp,windows,intel,core i3 1315u,u,6,8,intel,integrated,0,8,ddr4,0,512,14,Widescreen (16:10),HD+,157.35,0,50,4.3,40990
hp victus 15-fb3003ax gaming laptop (amd ryzen 5 8645hs/ 16gb/ 512gb ssd/ win11/ 4gb graph),hp,windows,amd,ryzen 5 8645hs,hs,6,12,nvidia,geforce rtx 2050,4,16,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,70,4.1,63990
hp 15-fd0467tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11 home),hp,windows,intel,core i5 1334u,u,10,12,intel,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,57,4.2,58490
hp victus 15-fb2117ax gaming laptop (amd ryzen 7 8845hs/ 16gb/ 1tb ssd/ win11/ 6gb graph),hp,windows,amd,ryzen 7 8845hs,hs,8,16,nvidia,geforce rtx 4050,6,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,74,4.5,87990
hp omen 16-wf0148tx gaming laptop (13th gen core i9/ 16gb/ 1tb ssd/ win11 home/ 8gb graph),hp,windows,intel,core i9 13900hx,hx,24,32,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16.1,Widescreen (16:10),3K+,182.44,0,77,4,136700
hp victus15-fb0147ax gaming laptop (ryzen 5 5600h/ 8gb/ 512gb ssd/ win11 home/ 4gb graph),hp,windows,amd,ryzen 5 5600h,h,6,12,amd,amd radeon rx 6500m,4,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,57,4.7,48990
hp omen 16-xf0060ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,amd,ryzen 7 7840hs,hs,8,16,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16,Widescreen (16:10),HD+,137.68,0,78,4.7,105490
hp 15-fd0489tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home),hp,windows,intel,core i3 1315u,u,6,8,intel,integrated,0,8,NULL,0,512,15.6,Widescreen (16:10),HD+,141.21,0,48,4.3,39490
hp 15-fd1255tu laptop (intel core ultra 5 125h/ 16gb/ 1tb ssd/ win11 home),hp,windows,intel,core ultra 5 series 1 125h,h,14,18,intel,integrated,0,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,59,4.45,69990
hp victus 15-fb0180ax gaming laptop (amd ryzen 5 5600h/ 8gb/ 512gb ssd/ win11/ 4gb graph),hp,windows,amd,ryzen 5 5600h,h,6,12,nvidia,geforce rtx 3050,4,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,63,4.75,54990
hp victus 15-fa2703tx gaming laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11/ 4gb graph),hp,windows,intel,core i5 13420h,h,8,12,nvidia,geforce rtx 2050,4,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,61,4.65,62990
hp victus 15-fb3025ax gaming laptop (amd ryzen 9 8945hs/ 16gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,amd,ryzen 9 8945hs,hs,8,16,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,77,4.05,107749
hp b12v5pt laptop (13th gen core i3/ 16gb/ 512gb ssd/ win11),hp,windows,intel,core i3 1315u,u,6,8,intel,integrated,0,16,ddr4,0,512,15.6,Widescreen (16:10),SD,100.45,0,53,4.7,33100
hp 245 g9 laptop (amd ryzen 5 5625u/ 16gb ram/ 512gb ssd/ win11),hp,windows,amd,ryzen 5 5625u,u,6,12,amd,integrated,0,16,ddr4,0,512,14,Widescreen (16:10),SD,111.94,0,60,4.4,34499
hp 15s-fy5011tu laptop (12th gen core i3/ 8gb/ 512gb ssd/ win11 home),hp,windows,intel,core i3 1215u,u,6,8,intel,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,53,4.05,34490
hp omen 16-xd0015ax gaming laptop (amd ryzen 7 7840hs/ 16gb/ 1tb ssd/ win11/ 6gb graph),hp,windows,amd,ryzen 7 7840hs,hs,8,16,nvidia,geforce rtx 4050,6,16,ddr5,0,1024,16.1,Widescreen (16:10),HD+,136.83,0,75,4.25,97990
hp omen 16-wd0012tx gaming laptop (13th gen core i7/ 16gb/ 1tb ssd/ win11/ 8gb graph),hp,windows,intel,core i7 13620h,h,10,16,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,16.1,Widescreen (16:10),HD+,136.83,0,72,4.7,101100
hp omen transcend 14-fb0007tx gaming laptop (intel core ultra 7 155h/ 16gb/ 1tb ssd/ win11 home/ 8gb graph),hp,windows,intel,core ultra 7 series 1 155h,h,16,22,nvidia,geforce rtx 4060,8,16,ddr5,0,1024,14,Widescreen (16:10),3K+,242.59,0,74,4.65,119990
hp victus 15-fa0187tx gaming laptop (12th gen core i7/ 16gb/ 1tb ssd/ win11/ 4gb graph),hp,windows,intel,core i7 12650h,h,10,16,nvidia,geforce rtx 3050,4,16,ddr4,0,1024,15.6,Widescreen (16:10),HD+,141.21,0,71,4.6,74990
hp pavilion x360 14-ek1010tu laptop (13th gen core i5/ 16gb/ 1tb ssd/ win11),hp,windows,intel,core i5 1335u,u,10,12,intel,integrated,0,16,ddr4,0,1024,14,Widescreen (16:10),HD+,157.35,1,65,4.15,70490
hp victus 15-fa2077tx gaming laptop (13th gen core i7/ 16gb/ 512gb ssd/ win11 home/ 6gb rtx3050 graph),hp,windows,intel,core i7 13620h,h,10,16,nvidia,geforce rtx 3050,6,16,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,65,4.75,92945
hp omnibook 5 16-ba1123tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11),hp,windows,intel,core i5 1334u,u,10,12,intel,integrated,0,16,ddr5,0,512,16,Widescreen (16:10),HD+,141.51,1,53,4.35,67490
hp 250 g10 bj3r8at laptop (13th gen core i5/ 32gb/ 512gb ssd/ win11),hp,windows,intel,core i5 1334u,u,10,12,intel,integrated,0,32,NULL,0,512,15.6,Widescreen (16:10),HD+,141.21,0,52,4.55,62990
hp 15-fd0572tu laptop (13th gen core i3/ 8gb/ 512gb ssd/ win11 home),hp,windows,intel,core i3 1315u,u,6,8,intel,integrated,0,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,53,4.6,40990
hp 15-fd1254tu laptop (intel core ultra 5 125h/ 16gb/ 512gb ssd/ win11 home),hp,windows,intel,core ultra 5 series 1 125h,h,14,18,intel,integrated,0,16,ddr5,0,512,15.6,Widescreen (16:10),HD+,141.21,0,57,4.1,66990
hp omnibook 5 16-ba1008tu laptop (13th gen core i5/ 16gb/ 512gb ssd/ win11),hp,windows,intel,core i5 1334u,u,10,12,intel,integrated,0,16,ddr5,0,512,16,Widescreen (16:10),HD+,141.51,1,53,4.1,69490
hp victus 15-fa2090tx gaming laptop (13th gen core i5/ 8gb/ 512gb ssd/ win11 home/ rtx 2050),hp,windows,intel,core i5 13420h,h,8,12,nvidia,geforce rtx 2050,4,8,ddr4,0,512,15.6,Widescreen (16:10),HD+,141.21,0,53,4.2,63800
hp omnibook x flip 14-fm0058tu next gen ai pc laptop (intel core ultra 5/ 16gb ram/ 512gb ssd/ win 11),hp,windows,intel,core ultra 5 226v,v,8,8,intel,integrated,0,16,ddr5,0,512,14,Widescreen (16:10),3K+,242.59,1,71,4.05,109990
